Filename,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-9_page_0109.out,-0.000717721,0.000218494,0.00202992,0.00028724,-2.18E-05,0.000122511
BY60C-9_page_0110.out,-0.00061675,0.000217497,0.00173777,0.000282589,-1.92E-05,0.000139251
BY60C-9_page_0111.out,-0.000507361,0.00019801,0.00146335,0.000252649,-1.17E-05,0.000138452
BY60C-9_page_0112.out,-0.000412206,0.000208842,0.00118666,0.000249697,-1.00E-05,0.000126953
BY60C-9_page_0113.out,-0.000324715,0.000194232,0.000872976,0.000261657,-5.73E-06,0.000121243
BY60C-9_page_0114.out,-0.00020618,0.00015741,0.000562109,0.00027779,-5.49E-06,0.000109936
BY60C-9_page_0115.out,-0.000112047,0.000177424,0.000279156,0.000252439,-8.70E-06,0.000116859
BY60C-9_page_0116.out,-3.40E-05,0.000194173,-5.89E-06,0.000200913,6.92E-06,0.00010253
BY60C-9_page_0117.out,5.14E-05,0.000230466,-0.000297696,0.000241359,-8.57E-06,0.000115443
BY60C-9_page_0118.out,0.000169259,0.000212336,-0.000576163,0.000236169,-2.02E-06,0.000119959
BY60C-9_page_0119.out,0.000241414,0.000228336,-0.0008675,0.000236135,3.97E-06,0.000112148
BY60C-9_page_0120.out,0.000324912,0.000244801,-0.00114895,0.000261625,4.23E-06,0.000113052
BY60C-9_page_0121.out,0.000277966,0.000253875,-0.00101668,0.000221963,1.46E-05,9.17E-05
BY60C-9_page_0122.out,0.00019037,0.000237146,-0.000767066,0.000248468,-7.35E-06,0.00010601
BY60C-9_page_0123.out,0.000128501,0.000227087,-0.000500573,0.000261905,-5.51E-06,0.000128729
BY60C-9_page_0124.out,3.94E-05,0.000210855,-0.000232006,0.000229661,1.23E-05,0.000129943
BY60C-9_page_0125.out,-2.37E-05,0.000201363,5.28E-05,0.000239616,-3.30E-06,0.000116164
BY60C-9_page_0126.out,-0.000125643,0.000209484,0.000329803,0.000261769,5.42E-07,0.000127498
BY60C-9_page_0127.out,-0.000226568,0.000202396,0.00060683,0.000317628,-1.44E-05,0.000132333
BY60C-9_page_0128.out,-0.000335262,0.000211106,0.000905584,0.000274713,-1.57E-05,0.000140415
BY60C-9_page_0129.out,-0.000416837,0.000229045,0.00119872,0.000275111,-1.17E-05,0.000119975
BY60C-9_page_0130.out,-0.000522162,0.000246195,0.00147776,0.000312438,-1.68E-05,0.000141864
BY60C-9_page_0131.out,-0.000609342,0.000223785,0.00176414,0.000289794,-1.34E-05,0.000145688
BY60C-9_page_0132.out,-0.000727662,0.000283604,0.00204531,0.000321121,-1.28E-05,0.000145722
BY60C-9_page_0133.out,-0.000796507,0.000207311,0.00233033,0.000364224,-1.95E-05,0.000140766
BY60C-9_page_0134.out,-0.000901157,0.000254791,0.00263658,0.000323335,-2.51E-05,0.00016242
BY60C-9_page_0135.out,-0.000990171,0.00026487,0.00291979,0.00032116,-2.97E-05,0.000159239
