"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-11_page_0141.out",-0.0012692,0.00037417,0.00375343,0.000319206,2.32966e-05,0.000183405
"BY60C-11_page_0142.out",-0.00132154,0.000358551,0.00401309,0.000339674,2.62634e-05,0.000201696
"BY60C-11_page_0143.out",-0.00139858,0.000381099,0.00428848,0.00034525,3.02049e-05,0.00019307
"BY60C-11_page_0144.out",-0.00147547,0.00034591,0.00455402,0.000341851,2.98094e-05,0.000182263
"BY60C-11_page_0145.out",-0.00157994,0.000353945,0.00477671,0.000353014,4.02377e-05,0.000197393
"BY60C-11_page_0146.out",-0.00165843,0.000371085,0.00503987,0.000374175,3.3987e-05,0.000202511
"BY60C-11_page_0147.out",-0.00175048,0.000378606,0.00530506,0.000406952,2.08997e-05,0.000215682
"BY60C-11_page_0148.out",-0.00181094,0.000384354,0.00555348,0.00038677,2.58732e-05,0.000210529
"BY60C-11_page_0149.out",-0.00188915,0.00038512,0.00580601,0.000388582,4.15421e-05,0.000221774
"BY60C-11_page_0150.out",-0.00197203,0.000373678,0.00609551,0.000426228,3.23327e-05,0.000226422
"BY60C-11_page_0151.out",-0.00207343,0.000376648,0.00634657,0.000416519,4.20097e-05,0.000221729
"BY60C-11_page_0152.out",-0.00214778,0.000391965,0.0065988,0.000438676,3.07457e-05,0.000237163
"BY60C-11_page_0153.out",-0.00223505,0.00045118,0.00689311,0.000446209,4.43078e-05,0.000246881
"BY60C-11_page_0154.out",-0.0023505,0.000413859,0.00717983,0.000435587,4.74122e-05,0.000234509
"BY60C-11_page_0155.out",-0.00242309,0.000440715,0.00746154,0.000447868,5.78422e-05,0.000238536
"BY60C-11_page_0156.out",-0.00249612,0.00042277,0.00776707,0.000470875,4.67047e-05,0.000255931
"BY60C-11_page_0157.out",-0.0024965,0.000448146,0.00771798,0.000466376,5.29331e-05,0.000254876
"BY60C-11_page_0158.out",-0.00241818,0.000414238,0.00747551,0.000473379,4.27218e-05,0.000248081
"BY60C-11_page_0159.out",-0.00232328,0.000402635,0.00722251,0.000440252,3.43507e-05,0.000231725
"BY60C-11_page_0160.out",-0.00225889,0.000422146,0.00697051,0.000459646,4.5068e-05,0.000249821
"BY60C-11_page_0161.out",-0.00217057,0.000418749,0.00670416,0.000445612,3.22669e-05,0.00025597
"BY60C-11_page_0162.out",-0.00208577,0.000403274,0.00643683,0.000416409,3.94132e-05,0.000237127
"BY60C-11_page_0163.out",-0.00201541,0.000413034,0.00619907,0.0004567,2.94896e-05,0.000230569
