Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-2_page_0088.out,88,-0.0104193,0.00133989,0.0324638,0.00323109,-8.71E-05,0.000781628
BY60M-2_page_0089.out,89,-0.0105708,0.00136847,0.0329327,0.00331946,-9.39E-05,0.000795723
BY60M-2_page_0090.out,90,-0.0107251,0.00141087,0.0334111,0.00342373,-8.89E-05,0.000812224
BY60M-2_page_0091.out,91,-0.0108711,0.00141762,0.0338882,0.00352588,-8.87E-05,0.000820012
BY60M-2_page_0092.out,92,-0.0110312,0.00145514,0.0343721,0.00362352,-9.87E-05,0.000828642
BY60M-2_page_0093.out,93,-0.0111875,0.00149986,0.0348626,0.00372256,-9.57E-05,0.000862741
BY60M-2_page_0094.out,94,-0.0113398,0.0015228,0.0353391,0.0038387,-9.78E-05,0.00087117
BY60M-2_page_0095.out,95,-0.0114917,0.00155591,0.0358218,0.00393731,-9.80E-05,0.000867746
BY60M-2_page_0096.out,96,-0.0116555,0.00158629,0.0363153,0.00405103,-9.99E-05,0.000896805
BY60M-2_page_0097.out,97,-0.0118131,0.00161509,0.0367932,0.00416506,-0.000101358,0.000908548
BY60M-2_page_0098.out,98,-0.0119727,0.00165014,0.0372773,0.00430128,-9.47E-05,0.000918563
BY60M-2_page_0099.out,99,-0.0121133,0.00166559,0.0377725,0.00442461,-9.09E-05,0.000929365
BY60M-2_page_0100.out,100,-0.0122768,0.00171093,0.0382719,0.00453397,-0.000105695,0.000938795
BY60M-2_page_0101.out,101,-0.0124404,0.00173901,0.0387544,0.00468723,-9.36E-05,0.000959882
BY60M-2_page_0102.out,102,-0.012595,0.00177344,0.0392512,0.00481237,-9.08E-05,0.000983311
BY60M-2_page_0103.out,103,-0.0127569,0.0018139,0.0397427,0.00495778,-0.00010365,0.000988583
BY60M-2_page_0104.out,104,-0.0129197,0.00185083,0.0402391,0.00509951,-0.000103272,0.000983651
BY60M-2_page_0105.out,105,-0.0130762,0.00190513,0.0407391,0.00523638,-9.77E-05,0.0010048
BY60M-2_page_0106.out,106,-0.0132489,0.0019275,0.0412174,0.00540311,-0.000103077,0.00101519
BY60M-2_page_0107.out,107,-0.0134025,0.00197029,0.0417196,0.00556076,-0.000108538,0.00104047
BY60M-2_page_0108.out,108,-0.0135592,0.00201488,0.0422104,0.00572779,-0.000109287,0.00103658
BY60M-2_page_0109.out,109,-0.0137299,0.00205435,0.0427216,0.00587002,-0.000106879,0.0010469
BY60M-2_page_0110.out,110,-0.0139023,0.00210623,0.0432226,0.00605522,-0.000106678,0.00107678
BY60M-2_page_0111.out,111,-0.0140522,0.00214876,0.0437209,0.00621337,-0.000103145,0.00107966
BY60M-2_page_0112.out,112,-0.0142026,0.00219499,0.0442291,0.00639715,-0.000105416,0.00110251
BY60M-2_page_0113.out,113,-0.0143725,0.0022281,0.0447278,0.00658613,-0.00010935,0.00110009
BY60M-2_page_0114.out,114,-0.0145376,0.00228965,0.0452315,0.00675856,-0.000113269,0.00111814
BY60M-2_page_0115.out,115,-0.01469,0.0023301,0.045723,0.00696518,-0.000107224,0.00113024
BY60M-2_page_0116.out,116,-0.014849,0.00238234,0.0462315,0.00715574,-0.000102823,0.00114941
BY60M-2_page_0117.out,117,-0.0150059,0.00244487,0.0467391,0.00734943,-0.000106115,0.00116078
BY60M-2_page_0118.out,118,-0.0151671,0.00249451,0.0472313,0.00755775,-0.000104013,0.00117914
BY60M-2_page_0119.out,119,-0.015337,0.00256393,0.0477355,0.00775984,-0.000112468,0.00118908
BY60M-2_page_0120.out,120,-0.0155061,0.00260635,0.048227,0.00797785,-0.000108249,0.00120101
BY60M-2_page_0121.out,121,-0.0156634,0.00267044,0.0487342,0.00820287,-0.000106251,0.00121622
BY60M-2_page_0122.out,122,-0.0158251,0.00274309,0.0492188,0.0084237,-0.000100351,0.00122292
BY60M-2_page_0123.out,123,-0.0159832,0.00279721,0.0497392,0.00864637,-0.000101443,0.00124335
BY60M-2_page_0124.out,124,-0.016147,0.00286665,0.0502359,0.00887637,-0.000106122,0.00125096
BY60M-2_page_0125.out,125,-0.016312,0.00294168,0.050736,0.00910201,-0.000108617,0.00125629
BY60M-2_page_0126.out,126,-0.0164829,0.00301261,0.0512464,0.00934348,-0.00010064,0.0012884
BY60M-2_page_0127.out,127,-0.0166416,0.00308887,0.051751,0.00959245,-0.000106204,0.00129914
BY60M-2_page_0128.out,128,-0.0168044,0.00316843,0.0522599,0.00985745,-0.000114708,0.00130428
BY60M-2_page_0129.out,129,-0.0169706,0.00324099,0.0527694,0.0101045,-0.000112408,0.00130414
BY60M-2_page_0130.out,130,-0.0171431,0.00331806,0.0532867,0.0103617,-0.000106104,0.00132236
BY60M-2_page_0131.out,131,-0.0173224,0.00340782,0.0538083,0.0106418,-0.000111099,0.00133329
BY60M-2_page_0132.out,132,-0.0174993,0.00350146,0.0543358,0.0109194,-0.00011311,0.00135169
BY60M-2_page_0133.out,133,-0.0176558,0.00359892,0.0548791,0.0112195,-0.000109693,0.00137158
BY60M-2_page_0134.out,134,-0.0178524,0.0036839,0.055398,0.0115486,-0.000107467,0.0013683
BY60M-2_page_0135.out,135,-0.0180229,0.00378819,0.0559412,0.0118691,-0.000103014,0.0013842
BY60M-2_page_0136.out,136,-0.0181925,0.00389066,0.0564834,0.012203,-0.000105695,0.00141099
BY60M-2_page_0137.out,137,-0.0183668,0.00400434,0.0570291,0.0125743,-0.00010749,0.00141804
BY60M-2_page_0138.out,138,-0.0185646,0.00412181,0.0575998,0.01296,-0.000117368,0.00143223
BY60M-2_page_0139.out,139,-0.0187522,0.00425002,0.0581583,0.0133812,-0.000112671,0.00143589
BY60M-2_page_0140.out,140,-0.0189385,0.00440891,0.058743,0.0138219,-0.000114952,0.00144699
BY60M-2_page_0141.out,141,-0.0191354,0.00455732,0.0593364,0.014282,-0.000113371,0.00145513
BY60M-2_page_0142.out,142,-0.0193231,0.00471458,0.0599151,0.0147545,-0.00010417,0.00147745
BY60M-2_page_0143.out,143,-0.0195112,0.00485809,0.0604854,0.0152155,-0.00011736,0.00148249
BY60M-2_page_0144.out,144,-0.0196941,0.00501502,0.0610583,0.0156874,-0.000122308,0.00150518
BY60M-2_page_0145.out,145,-0.0198781,0.00516708,0.0616423,0.0161813,-0.000118075,0.00151923
BY60M-2_page_0146.out,146,-0.0200605,0.00532858,0.0622146,0.0166893,-0.000112141,0.00153087
BY60M-2_page_0147.out,147,-0.0202562,0.00548849,0.0628011,0.0171897,-0.000126107,0.00154558
BY60M-2_page_0148.out,148,-0.0204414,0.00565684,0.0633737,0.017701,-0.000126948,0.00155875
BY60M-2_page_0149.out,149,-0.020652,0.00581904,0.0639451,0.0182247,-0.00012802,0.00157654
BY60M-2_page_0150.out,150,-0.0208407,0.00598971,0.0645361,0.0187734,-0.000142085,0.00160087
BY60M-2_page_0151.out,151,-0.0210308,0.00620101,0.0651478,0.019411,-0.000144904,0.00162282
BY60M-2_page_0152.out,152,-0.0212321,0.00642052,0.0657742,0.0200956,-0.000146694,0.00164239
BY60M-2_page_0153.out,153,-0.0214344,0.00664086,0.0663804,0.0207763,-0.000147571,0.00166253
BY60M-2_page_0154.out,154,-0.0216338,0.00685352,0.0670127,0.0214605,-0.000148305,0.00167508
BY60M-2_page_0155.out,155,-0.0218289,0.00707196,0.067615,0.022126,-0.000148422,0.00169195
