"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-8_page_0983.out",-0.0134898,0.00280018,0.042144,0.00654787,-0.000305792,0.00122288
"BY60C-8_page_0984.out",-0.013614,0.00280455,0.0425607,0.00661707,-0.000318238,0.00124951
"BY60C-8_page_0985.out",-0.0137606,0.00282254,0.0429841,0.00666293,-0.000324338,0.00125592
"BY60C-8_page_0986.out",-0.0138743,0.00283436,0.0433893,0.00672243,-0.000330405,0.00124866
"BY60C-8_page_0987.out",-0.0140041,0.00284188,0.0438128,0.00677346,-0.000334557,0.00125784
"BY60C-8_page_0988.out",-0.0141248,0.00285698,0.0442399,0.00683855,-0.00032536,0.00126656
"BY60C-8_page_0989.out",-0.0142857,0.00288389,0.0446565,0.00690292,-0.000343154,0.00128156
"BY60C-8_page_0990.out",-0.0144283,0.00289747,0.0450644,0.00695582,-0.000345767,0.0012754
"BY60C-8_page_0991.out",-0.0145478,0.00289974,0.0454904,0.0070257,-0.000338784,0.00129167
"BY60C-8_page_0992.out",-0.0146899,0.00291669,0.0459081,0.00707795,-0.0003503,0.00128959
"BY60C-8_page_0993.out",-0.014824,0.00295727,0.0463408,0.00716688,-0.000351863,0.00128749
"BY60C-8_page_0994.out",-0.0149479,0.00296212,0.0467535,0.00725422,-0.000359618,0.00130946
"BY60C-8_page_0995.out",-0.0151168,0.00296485,0.0471797,0.00732704,-0.000359845,0.0013007
"BY60C-8_page_0996.out",-0.0152401,0.00298863,0.0476142,0.0074191,-0.000359402,0.00129819
"BY60C-8_page_0997.out",-0.015377,0.00301328,0.0480614,0.00748523,-0.000359094,0.00131527
"BY60C-8_page_0998.out",-0.0155118,0.00301256,0.0484894,0.00757584,-0.000376226,0.00132174
"BY60C-8_page_0999.out",-0.0156595,0.00306079,0.0489478,0.0077122,-0.00038179,0.00132712
"BY60C-8_page_1000.out",-0.0157976,0.00306825,0.049406,0.00783269,-0.000359039,0.00133028
"BY60C-8_page_1001.out",-0.0159523,0.0031146,0.0498299,0.00796191,-0.00037633,0.00133602
"BY60C-8_page_1002.out",-0.0160823,0.00311928,0.0502863,0.00809542,-0.000369157,0.00133494
"BY60C-8_page_1003.out",-0.0162418,0.00317616,0.0507456,0.0082347,-0.000365951,0.00134974
"BY60C-8_page_1004.out",-0.0163767,0.00320505,0.0512113,0.00838129,-0.000375954,0.00134137
"BY60C-8_page_1005.out",-0.0165187,0.0032297,0.0516833,0.00858422,-0.000372765,0.00136292
"BY60C-8_page_1006.out",-0.0166749,0.00327257,0.0521538,0.00877019,-0.000372329,0.00138228
"BY60C-8_page_1007.out",-0.0168391,0.00332851,0.0526236,0.00898767,-0.000380135,0.00139526
"BY60C-8_page_1008.out",-0.0169919,0.00339484,0.0531041,0.00925192,-0.000377031,0.00140509
"BY60C-8_page_1009.out",-0.0171577,0.00346639,0.0535742,0.00955552,-0.00038981,0.00140782
