Filename,No.,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-5_page_0128.out,127,0.0235757,0.00505167,-0.0550782,0.0102567,-0.000910384,0.00335403
BY60C-5_page_0129.out,128,0.0234274,0.00504194,-0.0547817,0.010246,-0.000898784,0.00332448
BY60C-5_page_0130.out,129,0.0233162,0.00505794,-0.0544792,0.0102334,-0.000896751,0.00332993
BY60C-5_page_0131.out,130,0.0231985,0.00504121,-0.0541743,0.0102628,-0.000881713,0.00334319
BY60C-5_page_0132.out,131,0.0230585,0.00501268,-0.0538633,0.0102684,-0.000885317,0.00330356
BY60C-5_page_0133.out,132,0.0229268,0.00500884,-0.053561,0.0102545,-0.000882618,0.00331605
BY60C-5_page_0134.out,133,0.0228154,0.0050028,-0.0532482,0.0102764,-0.000866968,0.00331472
BY60C-5_page_0135.out,134,0.0226827,0.00499561,-0.0529309,0.0102903,-0.000858646,0.00331729
BY60C-5_page_0136.out,135,0.022551,0.00502027,-0.0526222,0.010258,-0.000854065,0.0032901
BY60C-5_page_0137.out,136,0.0224334,0.00500234,-0.0523184,0.01028,-0.000836154,0.00329356
BY60C-5_page_0138.out,137,0.0222932,0.0050047,-0.0520099,0.0103054,-0.000838377,0.00329077
BY60C-5_page_0139.out,138,0.0221554,0.00499226,-0.0516906,0.0103219,-0.000818439,0.00329211
BY60C-5_page_0140.out,139,0.0220361,0.00501316,-0.0513701,0.0103157,-0.000824359,0.003274
BY60C-5_page_0141.out,140,0.021894,0.00499565,-0.051054,0.0103219,-0.000812558,0.00326606
BY60C-5_page_0142.out,141,0.0217593,0.00498343,-0.0507357,0.0103033,-0.000790174,0.00327621
BY60C-5_page_0143.out,142,0.0216233,0.0049844,-0.0503938,0.0103222,-0.000791674,0.00326026
BY60C-5_page_0144.out,143,0.0214753,0.00499847,-0.050039,0.0103292,-0.00078881,0.0032689
BY60C-5_page_0145.out,144,0.0213259,0.00496961,-0.0496976,0.0103096,-0.000780135,0.00325917
BY60C-5_page_0146.out,145,0.0211646,0.00494375,-0.0493325,0.0103416,-0.000767286,0.0032483
BY60C-5_page_0147.out,146,0.0210309,0.00495853,-0.0489573,0.010337,-0.000758669,0.00325385
BY60C-5_page_0148.out,147,0.0208975,0.00494698,-0.0486013,0.0103126,-0.00074573,0.00323872
BY60C-5_page_0149.out,148,0.0208285,0.00494176,-0.0484476,0.0103083,-0.000760655,0.00324085
BY60C-5_page_0150.out,149,0.0209464,0.00493651,-0.0486914,0.0103298,-0.000750978,0.00324324
BY60C-5_page_0151.out,150,0.0210525,0.0049233,-0.0489763,0.0103139,-0.000766685,0.00324122
BY60C-5_page_0152.out,151,0.0211453,0.0049297,-0.0492539,0.0102951,-0.000764723,0.00325863
BY60C-5_page_0153.out,152,0.0212723,0.00493818,-0.0495518,0.0102786,-0.000766735,0.00324755
BY60C-5_page_0154.out,153,0.0213828,0.00495179,-0.0498231,0.0102919,-0.000785103,0.00324615
BY60C-5_page_0155.out,154,0.0215116,0.00496554,-0.0501196,0.0102769,-0.000793145,0.00324694
BY60C-5_page_0156.out,155,0.0216359,0.00496307,-0.0504274,0.0102553,-0.000801535,0.0032476
BY60C-5_page_0157.out,156,0.0217729,0.00495456,-0.0507295,0.010255,-0.000798872,0.00327155
BY60C-5_page_0158.out,157,0.0219053,0.00494833,-0.0510203,0.010268,-0.000819071,0.00328265
BY60C-5_page_0159.out,158,0.0220299,0.00495799,-0.0513512,0.0102552,-0.000827987,0.00326215
BY60C-5_page_0160.out,159,0.0221536,0.00496975,-0.0516586,0.0102494,-0.000829581,0.00328435
BY60C-5_page_0161.out,160,0.0222853,0.00497411,-0.0519738,0.010248,-0.00083927,0.00328892
BY60C-5_page_0162.out,161,0.022435,0.00499318,-0.0523033,0.0102206,-0.000844676,0.00330006
BY60C-5_page_0163.out,162,0.0225696,0.00496451,-0.0526243,0.0102191,-0.000851351,0.00327886
BY60C-5_page_0164.out,163,0.0226858,0.00496912,-0.0529543,0.0102327,-0.000861497,0.00329821
BY60C-5_page_0165.out,164,0.0228161,0.00497961,-0.0532816,0.0102448,-0.000876691,0.00331689
BY60C-5_page_0166.out,165,0.0229501,0.00500759,-0.0536145,0.0102209,-0.000880621,0.0033189
BY60C-5_page_0167.out,166,0.0231005,0.00499875,-0.0539447,0.0102358,-0.000885422,0.00332475
BY60C-5_page_0168.out,167,0.0232556,0.00502365,-0.0542896,0.0102166,-0.000881515,0.00334644
BY60C-5_page_0169.out,168,0.0234064,0.00503973,-0.0546167,0.0102191,-0.000900279,0.00333885
BY60C-5_page_0170.out,169,0.0235343,0.00503024,-0.0549476,0.0102082,-0.000916147,0.00333365
BY60C-5_page_0171.out,170,0.0236507,0.00503015,-0.0552874,0.0102345,-0.000925241,0.00333794
BY60C-5_page_0172.out,171,0.0238048,0.00506884,-0.0556183,0.0102226,-0.000930788,0.00334101
BY60C-5_page_0173.out,172,0.0239284,0.00508692,-0.0559403,0.0102159,-0.000935257,0.00335515
BY60C-5_page_0174.out,173,0.0240086,0.00507066,-0.0561488,0.0102013,-0.000941866,0.00334788
BY60C-5_page_0175.out,174,0.0238994,0.00504782,-0.0558883,0.0101989,-0.000936325,0.00335484
BY60C-5_page_0176.out,175,0.0237926,0.00504987,-0.0556018,0.0102256,-0.000933894,0.00333144
BY60C-5_page_0177.out,176,0.0236989,0.00504613,-0.0553112,0.0102281,-0.000916082,0.00335017
BY60C-5_page_0178.out,177,0.0235464,0.00504682,-0.0549967,0.0102076,-0.000916469,0.00334271
BY60C-5_page_0179.out,178,0.0234272,0.00505249,-0.0546984,0.0102256,-0.000908675,0.00332933
BY60C-5_page_0180.out,179,0.0232996,0.00503778,-0.0543779,0.0102409,-0.000896429,0.00331771
BY60C-5_page_0181.out,180,0.0231726,0.00501959,-0.0540619,0.0102546,-0.000889112,0.00332531
BY60C-5_page_0182.out,181,0.0230487,0.00500719,-0.053743,0.0102341,-0.000887622,0.00330889
BY60C-5_page_0183.out,182,0.0228868,0.00503913,-0.0534198,0.0102399,-0.000874544,0.00331374
BY60C-5_page_0184.out,183,0.0227698,0.00500999,-0.0531011,0.0102429,-0.000854607,0.0032985
BY60C-5_page_0185.out,184,0.0226425,0.00499025,-0.0527566,0.0102495,-0.000850563,0.00328612
BY60C-5_page_0186.out,185,0.0225279,0.00499018,-0.05245,0.0102248,-0.000840917,0.00329721
BY60C-5_page_0187.out,186,0.0223697,0.004965,-0.0521289,0.0102459,-0.000842706,0.00330128
BY60C-5_page_0188.out,187,0.0222438,0.00497158,-0.0517963,0.0102688,-0.000832946,0.00327027
BY60C-5_page_0189.out,188,0.0220907,0.00499297,-0.0514694,0.0102773,-0.000818982,0.00327927
BY60C-5_page_0190.out,189,0.0219861,0.00495986,-0.0511655,0.0102659,-0.000822953,0.003266
BY60C-5_page_0191.out,190,0.0218379,0.00495438,-0.0508225,0.0102684,-0.000801546,0.00326882
BY60C-5_page_0192.out,191,0.021707,0.00494928,-0.0505166,0.0102665,-0.000790479,0.00324283
BY60C-5_page_0193.out,192,0.0215839,0.00496851,-0.0501888,0.0102723,-0.000781202,0.00325316
BY60C-5_page_0194.out,193,0.0214606,0.00496,-0.0498683,0.0102794,-0.000778672,0.0032565
BY60C-5_page_0195.out,194,0.0213138,0.00493552,-0.0495494,0.0102783,-0.000760724,0.00324677
BY60C-5_page_0196.out,195,0.0211586,0.00493972,-0.0492201,0.0103114,-0.000761806,0.00325055
BY60C-5_page_0197.out,196,0.0210266,0.00492153,-0.0488919,0.010325,-0.00075263,0.00323638
BY60C-5_page_0198.out,197,0.020918,0.00490906,-0.0485654,0.0103005,-0.000745211,0.00321887
BY60C-5_page_0199.out,198,0.0207781,0.0049098,-0.0482255,0.0103002,-0.000738225,0.00323083
BY60C-5_page_0200.out,199,0.0206178,0.0049119,-0.0478735,0.0103269,-0.000729985,0.00321196
BY60C-5_page_0201.out,200,0.0204808,0.00491105,-0.0475167,0.0103139,-0.000712059,0.00322511
BY60C-5_page_0202.out,201,0.0203532,0.00488967,-0.0471642,0.0102909,-0.000711265,0.00322858
BY60C-5_page_0203.out,202,0.0201969,0.00487814,-0.0467972,0.0103209,-0.000711429,0.00321094
BY60C-5_page_0204.out,203,0.0200367,0.00487311,-0.0464386,0.0102926,-0.000700608,0.00321618
BY60C-5_page_0205.out,204,0.0199207,0.00484615,-0.0460659,0.0102991,-0.000680996,0.00322329
BY60C-5_page_0206.out,205,0.0198613,0.00484416,-0.0459262,0.0102864,-0.000693242,0.00320655
BY60C-5_page_0207.out,206,0.0199519,0.0048599,-0.0461889,0.0102744,-0.000687362,0.00320827
BY60C-5_page_0208.out,207,0.0200479,0.00484491,-0.0464732,0.0102948,-0.00070561,0.0031968
BY60C-5_page_0209.out,208,0.0201802,0.00485538,-0.0467656,0.0102908,-0.00070946,0.0032179
BY60C-5_page_0210.out,209,0.0202905,0.00486566,-0.0470548,0.0102797,-0.000719722,0.00322922
BY60C-5_page_0211.out,210,0.0204047,0.00487757,-0.0473381,0.0102743,-0.000730588,0.00323664
BY60C-5_page_0212.out,211,0.0205264,0.00487303,-0.0476279,0.0102657,-0.00073899,0.00321103
BY60C-5_page_0213.out,212,0.0206513,0.00488296,-0.0479192,0.0102552,-0.000750992,0.0032177
BY60C-5_page_0214.out,213,0.0207782,0.00487206,-0.0482351,0.0102293,-0.000753599,0.00323392
BY60C-5_page_0215.out,214,0.0209048,0.00488816,-0.0485554,0.0102361,-0.000762245,0.0032365
BY60C-5_page_0216.out,215,0.0210421,0.00492075,-0.048855,0.0102688,-0.000764809,0.00323936
BY60C-5_page_0217.out,216,0.0211507,0.00488397,-0.0491787,0.0102391,-0.00078104,0.00324346
BY60C-5_page_0218.out,217,0.0212826,0.00490878,-0.0495024,0.0102229,-0.000783247,0.00324659
BY60C-5_page_0219.out,218,0.0214361,0.00490642,-0.049811,0.0102252,-0.000787767,0.00324564
BY60C-5_page_0220.out,219,0.0215755,0.0049176,-0.0501487,0.0101983,-0.000791916,0.00327532
BY60C-5_page_0221.out,220,0.0216868,0.00492664,-0.0504968,0.0101821,-0.00080677,0.00326422
BY60C-5_page_0222.out,221,0.0218432,0.00493196,-0.0508152,0.0102049,-0.000804521,0.00328212
BY60C-5_page_0223.out,222,0.0219744,0.0049345,-0.0511757,0.0101934,-0.000823468,0.00326979
BY60C-5_page_0224.out,223,0.0220984,0.00493592,-0.0515183,0.0101998,-0.000840281,0.00327727
BY60C-5_page_0225.out,224,0.0222627,0.0049328,-0.0518569,0.0102069,-0.000833628,0.00327061
BY60C-5_page_0226.out,225,0.0223934,0.00495381,-0.0522021,0.0101775,-0.00084942,0.00328321
BY60C-5_page_0227.out,226,0.0225476,0.00498055,-0.0525595,0.0101717,-0.000861572,0.00330199
BY60C-5_page_0228.out,227,0.0227063,0.00496363,-0.0528925,0.0101797,-0.000861233,0.00329389
BY60C-5_page_0229.out,228,0.0228518,0.00498941,-0.0532459,0.0101872,-0.000869834,0.00330984
BY60C-5_page_0230.out,229,0.0229938,0.00498391,-0.0535966,0.0101667,-0.000893413,0.00331234
BY60C-5_page_0231.out,230,0.0231214,0.00497747,-0.053975,0.0101853,-0.000902184,0.00330261
BY60C-5_page_0232.out,231,0.0232736,0.00500202,-0.0543178,0.0101846,-0.000894407,0.00331411
BY60C-5_page_0233.out,232,0.0234164,0.0050439,-0.0546516,0.0101657,-0.000894065,0.00334677
BY60C-5_page_0234.out,233,0.0235328,0.00501434,-0.0549817,0.0101937,-0.000923144,0.00333105
BY60C-5_page_0235.out,234,0.0235748,0.00502282,-0.0550472,0.0101828,-0.000923373,0.00333203
BY60C-5_page_0236.out,235,0.0234829,0.00504136,-0.0547535,0.0102147,-0.000915111,0.00333171
BY60C-5_page_0237.out,236,0.0233606,0.00502654,-0.0544663,0.0102103,-0.000894105,0.00332056
BY60C-5_page_0238.out,237,0.0232429,0.00498918,-0.0541548,0.0102092,-0.000884285,0.00330519
BY60C-5_page_0239.out,238,0.023062,0.0050041,-0.0538425,0.0101947,-0.000897949,0.00330009
BY60C-5_page_0240.out,239,0.0229566,0.00499395,-0.0535224,0.010192,-0.000889744,0.00330406
BY60C-5_page_0241.out,240,0.022819,0.0049936,-0.0531809,0.0102204,-0.000864215,0.00330277
BY60C-5_page_0242.out,241,0.0227088,0.00498129,-0.05285,0.010188,-0.000858881,0.00328442
BY60C-5_page_0243.out,242,0.022556,0.00495628,-0.0525212,0.0101755,-0.000843283,0.00328173
BY60C-5_page_0244.out,243,0.0224143,0.00495261,-0.0521836,0.0102064,-0.000842907,0.00328638
BY60C-5_page_0245.out,244,0.0222436,0.00494614,-0.0518399,0.0102118,-0.000838697,0.00327294
BY60C-5_page_0246.out,245,0.0221559,0.00497884,-0.0515038,0.0102092,-0.000828936,0.00326719
BY60C-5_page_0247.out,246,0.0219861,0.00491611,-0.0511666,0.0102126,-0.000817168,0.00325974
BY60C-5_page_0248.out,247,0.0218711,0.00493583,-0.0508362,0.0101976,-0.00081015,0.00327151
BY60C-5_page_0249.out,248,0.0217184,0.00491805,-0.0505107,0.010204,-0.000793049,0.00324822
BY60C-5_page_0250.out,249,0.0215896,0.00492932,-0.0501709,0.0102054,-0.000793593,0.00324668
BY60C-5_page_0251.out,250,0.0214494,0.00491443,-0.0498404,0.010218,-0.000783063,0.00324819
BY60C-5_page_0252.out,251,0.0213197,0.00491098,-0.0495282,0.0102233,-0.000765659,0.00324416
BY60C-5_page_0253.out,252,0.0211799,0.00492951,-0.0491748,0.0102438,-0.000773329,0.00322143
BY60C-5_page_0254.out,253,0.0210565,0.00490676,-0.0488376,0.0102451,-0.000762095,0.00323246
BY60C-5_page_0255.out,254,0.0209256,0.0049046,-0.0485239,0.0102353,-0.000759976,0.00321212
