Filename,mean(exx),mean(eyy),mean(exy)
BY60M-3_page_0223.out,0.0706543,0.602507,0.206075
BY60M-3_page_0224.out,0.0734414,0.614488,0.211201
BY60M-3_page_0225.out,0.0761777,0.625916,0.216128
BY60M-3_page_0226.out,0.0789483,0.637155,0.221013
BY60M-3_page_0227.out,0.0818541,0.648523,0.226011
BY60M-3_page_0228.out,0.0830385,0.650712,0.227055
BY60M-3_page_0229.out,0.0857815,0.662267,0.232063
BY60M-3_page_0230.out,0.0886362,0.67396,0.237141
BY60M-3_page_0231.out,0.0915033,0.691273,0.242381
BY60M-3_page_0232.out,0.0941543,0.70253,0.246976
BY60M-3_page_0233.out,0.10353,0.718178,0.251818
BY60M-3_page_0234.out,0.106551,0.730384,0.257219
BY60M-3_page_0235.out,0.10945,0.742007,0.262338
BY60M-3_page_0236.out,0.112389,0.753745,0.267515
BY60M-3_page_0237.out,0.115178,0.76518,0.27252
BY60M-3_page_0238.out,0.117778,0.776721,0.277575
BY60M-3_page_0239.out,0.120438,0.788285,0.282586
BY60M-3_page_0240.out,0.123361,0.800279,0.287844
BY60M-3_page_0241.out,0.126422,0.803714,0.293422
BY60M-3_page_0242.out,0.129387,0.81625,0.298816
BY60M-3_page_0243.out,0.132409,0.828632,0.304226
BY60M-3_page_0244.out,0.135462,0.841198,0.309661
BY60M-3_page_0245.out,0.139178,0.854192,0.315255
BY60M-3_page_0246.out,0.141304,0.867075,0.321244
BY60M-3_page_0247.out,0.144558,0.880054,0.3269
BY60M-3_page_0248.out,0.147863,0.894938,0.332597
BY60M-3_page_0249.out,0.151663,0.913363,0.340201
BY60M-3_page_0250.out,0.154966,0.926392,0.345864
BY60M-3_page_0251.out,0.158289,0.940336,0.351829
BY60M-3_page_0252.out,0.16376,0.965677,0.362544
BY60M-3_page_0253.out,0.166808,0.978682,0.368163
BY60M-3_page_0254.out,0.169815,0.991193,0.373568
BY60M-3_page_0255.out,0.173434,1.00428,0.379101
BY60M-3_page_0256.out,0.175422,1.01712,0.384899
BY60M-3_page_0257.out,0.179031,1.03115,0.391142
BY60M-3_page_0258.out,0.18324,1.04561,0.397932
BY60M-3_page_0259.out,0.18682,1.05937,0.403964
BY60M-3_page_0260.out,0.190273,1.07286,0.409737
BY60M-3_page_0261.out,0.19439,1.08731,0.416393
BY60M-3_page_0262.out,0.197918,1.10158,0.422556
BY60M-3_page_0263.out,0.201386,1.11567,0.428521
BY60M-3_page_0264.out,0.205022,1.12942,0.434571
BY60M-3_page_0265.out,0.208083,1.14692,0.439696
BY60M-3_page_0266.out,0.210038,1.16386,0.445258
BY60M-3_page_0267.out,0.213653,1.17819,0.4513
BY60M-3_page_0268.out,0.217708,1.19985,0.458717
BY60M-3_page_0269.out,0.221601,1.21426,0.465001
BY60M-3_page_0270.out,0.225492,1.22913,0.47144
BY60M-3_page_0271.out,0.229241,1.24345,0.477587
BY60M-3_page_0272.out,0.289541,1.30565,0.502214
BY60M-3_page_0273.out,0.301548,1.32419,0.511489
BY60M-3_page_0274.out,0.306808,1.34068,0.518349
BY60M-3_page_0275.out,0.311277,1.3568,0.525474
BY60M-3_page_0276.out,0.315481,1.37201,0.532187
BY60M-3_page_0277.out,0.318473,1.38747,0.539043
BY60M-3_page_0278.out,0.322475,1.40179,0.545307
BY60M-3_page_0279.out,0.32642,1.41733,0.55206
BY60M-3_page_0280.out,0.330907,1.42803,0.556203
BY60M-3_page_0281.out,0.335868,1.44607,0.564093
BY60M-3_page_0282.out,0.341711,1.46417,0.571767
BY60M-3_page_0283.out,0.34574,1.47852,0.577892
BY60M-3_page_0284.out,0.348962,1.48749,0.583302
BY60M-3_page_0285.out,0.352875,1.50026,0.588794
BY60M-3_page_0286.out,0.354812,1.5058,0.590753
BY60M-3_page_0287.out,0.354926,1.51283,0.5961
BY60M-3_page_0288.out,0.356562,1.52065,0.599961
BY60M-3_page_0289.out,0.360097,1.53169,0.604746
BY60M-3_page_0290.out,0.363935,1.54468,0.609599
BY60M-3_page_0291.out,0.367817,1.55718,0.614811
BY60M-3_page_0292.out,0.37142,1.56859,0.619477
BY60M-3_page_0293.out,0.375437,1.58693,0.626486
BY60M-3_page_0294.out,0.378284,1.59535,0.630519
BY60M-3_page_0295.out,0.379869,1.60269,0.633696
BY60M-3_page_0296.out,0.392533,1.63055,0.643463
BY60M-3_page_0297.out,0.395957,1.64196,0.648331
BY60M-3_page_0298.out,0.398501,1.65416,0.653577
BY60M-3_page_0299.out,0.401892,1.66551,0.658295
BY60M-3_page_0300.out,0.41246,1.68071,0.663738
BY60M-3_page_0301.out,0.482856,1.7314,0.677566
BY60M-3_page_0302.out,0.477982,1.71124,0.676824
BY60M-3_page_0303.out,0.48035,1.71713,0.679204
BY60M-3_page_0304.out,0.472583,1.69522,0.669302
BY60M-3_page_0305.out,0.470733,1.70841,0.67382
BY60M-3_page_0306.out,0.533542,1.72917,0.697712
BY60M-3_page_0307.out,0.594726,1.82318,0.705334
BY60M-3_page_0308.out,0.619389,1.96637,0.808603
BY60M-3_page_0309.out,0.609034,1.91187,0.817656
BY60M-3_page_0310.out,0.590126,1.90205,0.813903
