General : Start Date,3/28/2019 12:57 PM,
Custom choice input : Operator,Ping,
Text Inputs : Specimen label,w20s1.2n1,
Custom choice input : Material,Polypropylene,
Dimension : Length,200,mm
Dimension : Thickness,5.3,mm
Dimension : Width,20.3,mm
Dimension : Area,1.0759,cm^2
,,
Time,Extension,Load
(sec),(mm),(N)
59.2852,1.94404,29.61794
59.3852,1.94753,29.66548
59.4852,1.95103,29.71724
59.5852,1.95406,29.76166
59.6852,1.95752,29.8112
59.7852,1.9611,29.86313
59.8852,1.96411,29.90703
59.9852,1.96746,29.95355
60.0852,1.97104,30.00575
60.1852,1.97409,30.04954
60.2852,1.97741,30.09712
60.3852,1.98106,30.15208
60.4852,1.98419,30.20071
60.5852,1.98745,30.2458
60.6852,1.99106,30.29836
60.7852,1.99422,30.34627
60.8852,1.99736,30.38928
60.9852,2.00096,30.4423
61.0852,2.00429,30.48972
61.1852,2.00739,30.53511
61.2852,2.01097,30.58573
61.3852,2.01434,30.6372
61.4852,2.01733,30.6824
61.5852,2.02088,30.73352
61.6852,2.02437,30.78479
61.7852,2.02735,30.8282
61.8852,2.0309,30.87881
61.9852,2.03444,30.931
62.0852,2.03738,30.97188
62.1852,2.04081,31.0235
62.2852,2.04442,31.07333
62.3852,2.0474,31.1143
62.4852,2.05081,31.1662
62.5852,2.05448,31.2187
62.6852,2.0575,31.26534
62.7852,2.06076,31.31184
62.8852,2.06437,31.36932
62.9852,2.06749,31.41582
63.0852,2.07068,31.45909
63.1852,2.07433,31.51127
63.2852,2.07759,31.5573
63.3852,2.08073,31.60316
63.4852,2.08432,31.65564
63.5852,2.08761,31.70101
63.6852,2.09063,31.74602
63.7852,2.0942,31.79926
63.8852,2.09765,31.851
63.9852,2.10076,31.89883
64.0852,2.10428,31.94954
64.1852,2.10775,32.00191
64.2852,2.11073,32.04275
64.3852,2.11415,32.09171
64.4852,2.11769,32.14562
64.5852,2.12073,32.18563
64.6852,2.12417,32.23274
64.7852,2.12776,32.28633
64.8852,2.13076,32.33062
64.9852,2.13414,32.38007
65.0852,2.13768,32.43491
65.1852,2.14078,32.47977
65.2852,2.14407,32.52887
65.3852,2.14769,32.58003
65.4852,2.15088,32.62348
65.5852,2.15413,32.67372
65.6852,2.15769,32.72444
65.7852,2.16091,32.76993
65.8852,2.16404,32.81337
65.9852,2.1676,32.86426
