"Filename","mean(exx)","mean(eyy)","mean(exy)"
"BY60M-1_page_0148.out",-0.0229155,0.068414,-7.24624e-05
"BY60M-1_page_0149.out",-0.0232105,0.069219,-6.42376e-05
"BY60M-1_page_0150.out",-0.0235003,0.0700394,-5.62736e-05
"BY60M-1_page_0151.out",-0.0237854,0.0708595,-5.4427e-05
"BY60M-1_page_0152.out",-0.0240896,0.0717058,-4.50388e-05
"BY60M-1_page_0153.out",-0.0244119,0.072543,-3.25696e-05
"BY60M-1_page_0154.out",-0.024716,0.073386,-2.27968e-05
"BY60M-1_page_0155.out",-0.0250048,0.0742439,-8.57735e-06
"BY60M-1_page_0156.out",-0.0253015,0.0751235,-9.76188e-06
"BY60M-1_page_0157.out",-0.0256724,0.0761772,7.46552e-06
"BY60M-1_page_0158.out",-0.0260107,0.0771501,2.37153e-05
"BY60M-1_page_0159.out",-0.0263396,0.078052,3.4795e-05
"BY60M-1_page_0160.out",-0.0266426,0.0789435,3.55248e-05
"BY60M-1_page_0161.out",-0.0269611,0.0798344,4.88672e-05
"BY60M-1_page_0162.out",-0.0273011,0.0807405,6.34571e-05
"BY60M-1_page_0163.out",-0.0276053,0.0816466,7.14535e-05
"BY60M-1_page_0164.out",-0.0279325,0.0825632,9.44166e-05
"BY60M-1_page_0165.out",-0.0282559,0.0834829,0.00010487
"BY60M-1_page_0166.out",-0.0285839,0.0844164,0.000118357
"BY60M-1_page_0167.out",-0.0289108,0.0853547,0.000126534
"BY60M-1_page_0168.out",-0.0293138,0.08657,0.000140647
"BY60M-1_page_0169.out",-0.0296795,0.0876302,0.000152858
"BY60M-1_page_0170.out",-0.0300258,0.0886157,0.000159565
"BY60M-1_page_0171.out",-0.0303592,0.0895972,0.000170808
"BY60M-1_page_0172.out",-0.0307063,0.0905972,0.000200444
"BY60M-1_page_0173.out",-0.0310458,0.0916041,0.0001961
"BY60M-1_page_0174.out",-0.0313916,0.092625,0.000233228
"BY60M-1_page_0175.out",-0.0317619,0.0937017,0.000242826
"BY60M-1_page_0176.out",-0.0321417,0.0947625,0.000267368
"BY60M-1_page_0177.out",-0.0325225,0.0958832,0.000299386
"BY60M-1_page_0178.out",-0.0328946,0.0969704,0.000328873
"BY60M-1_page_0179.out",-0.0333539,0.0983968,0.000358604
"BY60M-1_page_0180.out",-0.0337642,0.0995434,0.000375418
"BY60M-1_page_0181.out",-0.0341302,0.10066,0.000406356
"BY60M-1_page_0182.out",-0.0344773,0.101749,0.000443068
"BY60M-1_page_0183.out",-0.0348471,0.102852,0.000478615
"BY60M-1_page_0184.out",-0.0352348,0.10398,0.000512117
"BY60M-1_page_0185.out",-0.0355977,0.105074,0.000548461
"BY60M-1_page_0186.out",-0.0359829,0.106167,0.000573203
"BY60M-1_page_0187.out",-0.0363599,0.107286,0.000597715
"BY60M-1_page_0188.out",-0.036739,0.108451,0.000636436
"BY60M-1_page_0189.out",-0.0371745,0.109713,0.000680991
"BY60M-1_page_0190.out",-0.0376592,0.11111,0.000737962
"BY60M-1_page_0191.out",-0.0380955,0.112413,0.000789888
"BY60M-1_page_0192.out",-0.0384846,0.113622,0.000849128
"BY60M-1_page_0193.out",-0.03889,0.114889,0.000906389
"BY60M-1_page_0194.out",-0.0392809,0.116152,0.000986056
"BY60M-1_page_0195.out",-0.0396309,0.117471,0.00110427
"BY60M-1_page_0196.out",-0.0400222,0.11877,0.00120279
"BY60M-1_page_0197.out",-0.0403728,0.120087,0.00131275
"BY60M-1_page_0198.out",-0.0407447,0.121354,0.00141775
"BY60M-1_page_0199.out",-0.041086,0.122635,0.00155343
"BY60M-1_page_0200.out",-0.0414057,0.124315,0.00182804
"BY60M-1_page_0201.out",-0.0417077,0.12582,0.00206841
"BY60M-1_page_0202.out",-0.0411835,0.127903,0.00299069
"BY60M-1_page_0203.out",-0.0409433,0.129911,0.00375641
"BY60M-1_page_0204.out",-0.0409557,0.130342,0.00380607
"BY60M-1_page_0205.out",-0.040647,0.133167,0.00399194
"BY60M-1_page_0206.out",-0.0408665,0.134653,0.00426373
"BY60M-1_page_0207.out",-0.0411567,0.136123,0.00447136
"BY60M-1_page_0208.out",-0.0414481,0.137593,0.00470891
"BY60M-1_page_0209.out",-0.0417509,0.139074,0.00490901
"BY60M-1_page_0210.out",-0.0421156,0.14071,0.0051187
"BY60M-1_page_0211.out",-0.0425092,0.142388,0.00533722
"BY60M-1_page_0212.out",-0.0428213,0.144,0.00555903
"BY60M-1_page_0213.out",-0.0431528,0.145688,0.00582689
"BY60M-1_page_0214.out",-0.0433888,0.147474,0.00615916
"BY60M-1_page_0215.out",-0.0435522,0.149458,0.00658673
"BY60M-1_page_0216.out",-0.0437548,0.151252,0.00692269
"BY60M-1_page_0217.out",-0.0436974,0.153053,0.00750151
"BY60M-1_page_0218.out",-0.0437444,0.154971,0.00799453
"BY60M-1_page_0219.out",-0.0439088,0.156949,0.00840855
"BY60M-1_page_0220.out",-0.0440878,0.159211,0.00885597
"BY60M-1_page_0221.out",-0.0442442,0.162388,0.00946124
"BY60M-1_page_0222.out",-0.0445084,0.164777,0.00981333
"BY60M-1_page_0223.out",-0.0448211,0.166804,0.0100851
"BY60M-1_page_0224.out",-0.0450149,0.168639,0.010382
"BY60M-1_page_0225.out",-0.0452312,0.169853,0.0106278
"BY60M-1_page_0226.out",-0.0443415,0.17373,0.0113724
"BY60M-1_page_0227.out",-0.04454,0.175418,0.011681
"BY60M-1_page_0228.out",-0.0445811,0.163797,0.00922816
"BY60M-1_page_0229.out",-0.0446779,0.164652,0.00950905
"BY60M-1_page_0230.out",-0.044818,0.166004,0.00979564
"BY60M-1_page_0231.out",-0.0449959,0.167561,0.0101249
"BY60M-1_page_0232.out",-0.0449429,0.170032,0.0108982
"BY60M-1_page_0233.out",-0.0440302,0.175201,0.013103
"BY60M-1_page_0234.out",-0.0399847,0.182946,0.0168699
"BY60M-1_page_0235.out",-0.0389097,0.188428,0.0187196
"BY60M-1_page_0236.out",-0.0388877,0.190415,0.019231
"BY60M-1_page_0237.out",-0.0389869,0.192332,0.0196813
"BY60M-1_page_0238.out",-0.0336895,0.197214,0.0232435
"BY60M-1_page_0239.out",-0.0335675,0.198997,0.0237813
"BY60M-1_page_0240.out",-0.0342828,0.200017,0.023715
"BY60M-1_page_0241.out",-0.0347956,0.201027,0.0240372
"BY60M-1_page_0242.out",-0.0392257,0.179281,0.0156345
"BY60M-1_page_0243.out",-0.00294471,0.208384,0.0283171
"BY60M-1_page_0244.out",-0.00239044,0.211403,0.0295828
"BY60M-1_page_0245.out",-0.00157845,0.215129,0.0311537
"BY60M-1_page_0246.out",0.00127078,0.219084,0.0322053
"BY60M-1_page_0247.out",0.00154889,0.222459,0.0332534
