"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60M-6_page_0098.out",-0.0113729,0.00179872,0.0374434,0.00602594,-0.000615667,0.00067934
"BY60M-6_page_0099.out",-0.0115325,0.00185149,0.037996,0.00626502,-0.000620464,0.00068094
"BY60M-6_page_0100.out",-0.0117054,0.00191544,0.0385547,0.00654931,-0.000637016,0.000682765
"BY60M-6_page_0101.out",-0.011882,0.00201716,0.0391056,0.00680814,-0.000651453,0.00069302
"BY60M-6_page_0102.out",-0.0120403,0.00209769,0.0396736,0.00710703,-0.000655836,0.00069403
"BY60M-6_page_0103.out",-0.0122103,0.00216267,0.0402241,0.00740801,-0.000675302,0.000693959
"BY60M-6_page_0104.out",-0.0123941,0.00226597,0.0407631,0.00769372,-0.000685625,0.000687618
"BY60M-6_page_0105.out",-0.0125535,0.00234421,0.0413022,0.00800381,-0.000700502,0.000709925
"BY60M-6_page_0106.out",-0.0127189,0.00242721,0.041821,0.00828399,-0.000701439,0.000722126
"BY60M-6_page_0107.out",-0.0128876,0.00251652,0.0423732,0.00861425,-0.000722268,0.000726327
"BY60M-6_page_0108.out",-0.0130488,0.00260892,0.0428783,0.00890053,-0.000712882,0.000747224
"BY60M-6_page_0109.out",-0.0132342,0.00271827,0.0434086,0.00922887,-0.00072574,0.000741789
"BY60M-6_page_0110.out",-0.0133725,0.00280259,0.0439403,0.00956532,-0.000754551,0.000740772
"BY60M-6_page_0111.out",-0.0135367,0.0028904,0.0444529,0.00988412,-0.000745029,0.000740871
"BY60M-6_page_0112.out",-0.0136977,0.00298938,0.0449878,0.0102473,-0.000754187,0.000765767
"BY60M-6_page_0113.out",-0.0138469,0.00309378,0.0455014,0.0105782,-0.000771194,0.00077071
"BY60M-6_page_0114.out",-0.0140048,0.00317905,0.0459962,0.0109079,-0.000777119,0.000774048
"BY60M-6_page_0115.out",-0.0141679,0.00328557,0.0464889,0.0112662,-0.000805407,0.000792989
"BY60M-6_page_0116.out",-0.0143395,0.00339188,0.046982,0.0116133,-0.000806763,0.000797636
"BY60M-6_page_0117.out",-0.0144831,0.00349589,0.0474863,0.0119752,-0.000814706,0.000813137
"BY60M-6_page_0118.out",-0.0146331,0.00361858,0.0479566,0.0123394,-0.000827749,0.000837219
"BY60M-6_page_0119.out",-0.0147828,0.00371529,0.0484108,0.012698,-0.000843224,0.000828072
"BY60M-6_page_0120.out",-0.0149271,0.00383095,0.0488952,0.0130818,-0.000854416,0.000820278
"BY60M-6_page_0121.out",-0.0150708,0.003931,0.0493477,0.0134577,-0.000865882,0.000827842
"BY60M-6_page_0122.out",-0.0152169,0.00403968,0.0497627,0.0138452,-0.000864185,0.000839722
"BY60M-6_page_0123.out",-0.0153428,0.0041579,0.0501865,0.0142255,-0.000861687,0.000838888
"BY60M-6_page_0124.out",-0.015474,0.00427957,0.0506007,0.0145912,-0.000880955,0.000851529
"BY60M-6_page_0125.out",-0.0156072,0.0044077,0.0510079,0.0149937,-0.000897948,0.000852091
"BY60M-6_page_0126.out",-0.0157282,0.00451279,0.0513852,0.0153696,-0.000902453,0.000868345
"BY60M-6_page_0127.out",-0.0158259,0.00460824,0.0517379,0.0157418,-0.000911159,0.000877364
"BY60M-6_page_0128.out",-0.0159252,0.00472775,0.0520463,0.0160667,-0.000905852,0.000877939
"BY60M-6_page_0129.out",-0.0160103,0.00480566,0.0523117,0.0163638,-0.00090941,0.000896055
"BY60M-6_page_0130.out",-0.0160857,0.00488279,0.0525474,0.016625,-0.000902673,0.000902425
"BY60M-6_page_0131.out",-0.0161601,0.00495793,0.0527554,0.0168671,-0.000899402,0.000910883
"BY60M-6_page_0132.out",-0.0162417,0.00502398,0.052939,0.017075,-0.000908131,0.000915047
"BY60M-6_page_0133.out",-0.0162946,0.00508735,0.0530936,0.0172854,-0.000920184,0.000923187
"BY60M-6_page_0134.out",-0.016349,0.00514424,0.0532473,0.0174655,-0.000918197,0.000926982
"BY60M-6_page_0135.out",-0.0163892,0.00518679,0.0534125,0.0176408,-0.000926414,0.000933129
"BY60M-6_page_0136.out",-0.0164372,0.00524883,0.0535464,0.0177981,-0.000916769,0.000929744
"BY60M-6_page_0137.out",-0.0164631,0.00528708,0.0536612,0.0179485,-0.000927167,0.000933044
"BY60M-6_page_0138.out",-0.0165025,0.00532562,0.0537405,0.0180815,-0.000923199,0.000923388
"BY60M-6_page_0139.out",-0.0165276,0.00536524,0.0538202,0.0181849,-0.000923666,0.000934216
"BY60M-6_page_0140.out",-0.0165561,0.00540811,0.0538751,0.0182907,-0.000919324,0.00094394
"BY60M-6_page_0141.out",-0.0165706,0.00542871,0.0538837,0.0183658,-0.0009202,0.00094084
"BY60M-6_page_0142.out",-0.0165727,0.00544546,0.0538883,0.0184252,-0.000911785,0.000949388
"BY60M-6_page_0143.out",-0.016591,0.00547701,0.0538713,0.0184853,-0.000914803,0.000941491
"BY60M-6_page_0144.out",-0.0165756,0.00550048,0.0538451,0.0185389,-0.000907537,0.000931375
"BY60M-6_page_0145.out",-0.0165568,0.00550491,0.0538149,0.0185716,-0.000901656,0.000940629
"BY60M-6_page_0146.out",-0.0165562,0.00551562,0.0537763,0.0186006,-0.00089359,0.000931014
"BY60M-6_page_0147.out",-0.0165474,0.00553903,0.0537251,0.0186368,-0.000882834,0.000927234
"BY60M-6_page_0148.out",-0.0165402,0.0055116,0.0536916,0.0186499,-0.000869716,0.000929904
"BY60M-6_page_0149.out",-0.0165327,0.005515,0.0536442,0.0186778,-0.000867196,0.00092192
"BY60M-6_page_0150.out",-0.0165248,0.00554263,0.0536013,0.0186864,-0.000858788,0.000924653
"BY60M-6_page_0151.out",-0.0164831,0.00555752,0.0535114,0.0186782,-0.000853364,0.000927022
"BY60M-6_page_0152.out",-0.0164707,0.0055177,0.0534517,0.018706,-0.000849307,0.000933272
"BY60M-6_page_0153.out",-0.0164808,0.00554059,0.0534302,0.0187038,-0.000842936,0.000916215
"BY60M-6_page_0154.out",-0.0164911,0.00557398,0.0533917,0.0187237,-0.000840219,0.000920544
"BY60M-6_page_0155.out",-0.0164471,0.00554014,0.0533694,0.018756,-0.000832276,0.000922362
"BY60M-6_page_0156.out",-0.0164591,0.00557623,0.0533676,0.0187775,-0.000831643,0.000920131
"BY60M-6_page_0157.out",-0.0164692,0.00557617,0.0533476,0.0188008,-0.000828048,0.000917325
"BY60M-6_page_0158.out",-0.016466,0.00556182,0.0533446,0.0188198,-0.000826958,0.000931876
"BY60M-6_page_0159.out",-0.0164824,0.00559998,0.0533276,0.0188376,-0.000825362,0.000914595
"BY60M-6_page_0160.out",-0.0164873,0.00559254,0.0533508,0.0188728,-0.000811147,0.000933612
"BY60M-6_page_0161.out",-0.0164975,0.00561588,0.0533457,0.0188852,-0.000815109,0.000926154
"BY60M-6_page_0162.out",-0.0165006,0.00561084,0.0533496,0.0189203,-0.000809615,0.000920575
"BY60M-6_page_0163.out",-0.0165027,0.00563092,0.0533414,0.0189374,-0.000810181,0.000948459
"BY60M-6_page_0164.out",-0.0165065,0.00566763,0.0533305,0.0189709,-0.000816359,0.000939963
"BY60M-6_page_0165.out",-0.0165118,0.00563136,0.0533338,0.0189983,-0.000803433,0.000931174
"BY60M-6_page_0166.out",-0.0165107,0.0056569,0.0533215,0.0190318,-0.000807331,0.000938065
"BY60M-6_page_0167.out",-0.0165029,0.00567202,0.0533279,0.019059,-0.000793859,0.000939207
"BY60M-6_page_0168.out",-0.0165092,0.00566324,0.0533157,0.0190806,-0.000791815,0.000948285
"BY60M-6_page_0169.out",-0.0165284,0.00567877,0.053334,0.0191127,-0.000776986,0.000943515
"BY60M-6_page_0170.out",-0.0165174,0.00569156,0.0533289,0.0191427,-0.000777945,0.0009403
"BY60M-6_page_0171.out",-0.0165241,0.00571482,0.0533658,0.0191828,-0.00076783,0.000940479
"BY60M-6_page_0172.out",-0.0165462,0.00571983,0.053389,0.0192417,-0.000770785,0.000943069
"BY60M-6_page_0173.out",-0.0165595,0.00573218,0.0534177,0.0192843,-0.000765076,0.000942763
"BY60M-6_page_0174.out",-0.0165882,0.00575535,0.0534482,0.0193211,-0.00077091,0.00094799
"BY60M-6_page_0175.out",-0.0165834,0.00576297,0.0534482,0.0193739,-0.000772119,0.000941375
"BY60M-6_page_0176.out",-0.0165901,0.00579036,0.053458,0.0194006,-0.000762925,0.000944669
"BY60M-6_page_0177.out",-0.0165961,0.00579319,0.0534649,0.0194249,-0.000759798,0.000931549
"BY60M-6_page_0178.out",-0.0165885,0.00579939,0.053451,0.0194728,-0.000747517,0.000942603
"BY60M-6_page_0179.out",-0.0165994,0.00582756,0.0534376,0.019495,-0.000750862,0.000944971
"BY60M-6_page_0180.out",-0.0166128,0.00583147,0.0534468,0.0195377,-0.000751226,0.000941582
"BY60M-6_page_0181.out",-0.0166079,0.00584483,0.0534347,0.0195806,-0.000756964,0.000951064
"BY60M-6_page_0182.out",-0.0166063,0.00586165,0.0534241,0.019623,-0.000742409,0.000952652
