General : Start Date,3/28/2019 12:57 PM
Custom choice input : Operator,Ping
Text Inputs : Specimen label,"w20s1.2n1"
Custom choice input : Material,Polypropylene
Dimension : Length,200.00000,mm
Dimension : Thickness,5.30000,mm
Dimension : Width,20.30000,mm
Dimension : Area,1.07590,cm^2

Time,Extension,Load
(sec),(mm),(N)
35.18520,1.14073,17.59207
35.28520,1.14422,17.65698
35.38520,1.14762,17.72131
35.48520,1.15066,17.77424
35.58520,1.15424,17.84398
35.68520,1.15776,17.90770
35.78520,1.16079,17.95758
35.88520,1.16424,18.02265
35.98520,1.16772,18.08730
36.08520,1.17067,18.13362
36.18520,1.17412,18.19483
36.28520,1.17777,18.26892
36.38520,1.18081,18.32118
36.48520,1.18417,18.38356
36.58520,1.18779,18.44750
36.68520,1.19076,18.49432
36.78520,1.19399,18.54983
36.88520,1.19765,18.61644
36.98520,1.20084,18.66666
37.08520,1.20408,18.71683
37.18520,1.20775,18.78160
37.28520,1.21094,18.82773
37.38520,1.21399,18.88063
37.48520,1.21754,18.95003
37.58520,1.22093,19.00556
37.68520,1.22402,19.05611
37.78520,1.22765,19.12674
37.88520,1.23110,19.18731
37.98520,1.23412,19.23702
38.08520,1.23755,19.29695
38.18520,1.24098,19.35984
38.28520,1.24398,19.40863
38.38520,1.24750,19.47600
38.48520,1.25110,19.53926
38.58520,1.25413,19.59006
38.68520,1.25758,19.65385
38.78520,1.26107,19.71122
38.88520,1.26404,19.75683
38.98520,1.26735,19.81030
39.08520,1.27102,19.87287
39.18520,1.27417,19.91777
39.28520,1.27751,19.97411
39.38520,1.28114,20.03173
39.48520,1.28421,20.08056
39.58520,1.28734,20.12759
39.68520,1.29088,20.18885
39.78520,1.29418,20.24024
39.88520,1.29734,20.28859
39.98520,1.30095,20.34537
40.08520,1.30435,20.39430
40.18520,1.30740,20.43642
40.28520,1.31084,20.48552
40.38520,1.31424,20.53490
40.48520,1.31733,20.57882
40.58520,1.32085,20.63141
40.68520,1.32442,20.68042
40.78520,1.32744,20.72666
40.88520,1.33091,20.77562
40.98520,1.33442,20.82835
41.08520,1.33737,20.86513
41.18520,1.34077,20.91512
41.28520,1.34440,20.96565
41.38520,1.34746,21.00739
41.48520,1.35080,21.04987
41.58520,1.35442,21.10032
41.68520,1.35748,21.13880
41.78520,1.36067,21.18367
41.88520,1.36429,21.23371
41.98520,1.36757,21.27858
42.08520,1.37071,21.31479
42.18520,1.37432,21.36620
42.28520,1.37766,21.40753
42.38520,1.38073,21.45154
42.48520,1.38423,21.49433
42.58520,1.38767,21.54296
42.68520,1.39071,21.58264
42.78520,1.39423,21.63222
42.88520,1.39775,21.68159
42.98520,1.40072,21.71815
43.08520,1.40415,21.76718
43.18520,1.40769,21.82587
43.28520,1.41068,21.86464
43.38520,1.41411,21.91314
43.48520,1.41776,21.96740
43.58520,1.42081,22.00987
43.68520,1.42412,22.05469
43.78520,1.42775,22.10714
43.88520,1.43080,22.15086
43.98520,1.43402,22.19927
44.08520,1.43772,22.24986
44.18520,1.44092,22.29315
44.28520,1.44409,22.34186
44.38520,1.44769,22.39860
44.48520,1.45094,22.44927
44.58520,1.45397,22.49603
44.68520,1.45753,22.54819
44.78520,1.46097,22.59753
44.88520,1.46406,22.63923
44.98520,1.46756,22.68935
45.08520,1.47103,22.74502
45.18520,1.47403,22.78710
45.28520,1.47752,22.83802
45.38520,1.48103,22.88829
45.48520,1.48407,22.93479
45.58520,1.48751,22.98476
45.68520,1.49107,23.03745
45.78520,1.49408,23.08556
45.88520,1.49747,23.13644
45.98520,1.50105,23.18708
46.08520,1.50407,23.22887
46.18520,1.50744,23.27832
46.28520,1.51104,23.32824
46.38520,1.51417,23.37280
46.48520,1.51740,23.42249
46.58520,1.52102,23.47421
46.68520,1.52421,23.52108
46.78520,1.52732,23.56694
46.88520,1.53093,23.61984
46.98520,1.53427,23.67253
47.08520,1.53735,23.71113
47.18520,1.54092,23.76057
47.28520,1.54434,23.81107
47.38520,1.54737,23.85570
47.48520,1.55086,23.90799
47.58520,1.55436,23.95929
47.68520,1.55737,24.00379
47.78520,1.56084,24.05192
47.88520,1.56441,24.10255
47.98520,1.56740,24.14782
48.08520,1.57082,24.19811
48.18520,1.57437,24.25192
48.28520,1.57738,24.29490
48.38520,1.58074,24.34326
48.48520,1.58438,24.39555
48.58520,1.58748,24.44168
48.68520,1.59077,24.49141
48.78520,1.59439,24.54367
48.88520,1.59750,24.58750
48.98520,1.60067,24.62954
49.08520,1.60431,24.68318
49.18520,1.60762,24.73043
49.28520,1.61075,24.77619
49.38520,1.61433,24.83023
49.48520,1.61769,24.87655
49.58520,1.62070,24.92409
49.68520,1.62416,24.97332
49.78520,1.62767,25.02021
49.88520,1.63068,25.06554
49.98520,1.63419,25.11726
50.08520,1.63777,25.16884
50.18520,1.64078,25.20908
50.28520,1.64415,25.25553
50.38520,1.64768,25.31108
50.48520,1.65071,25.35481
50.58520,1.65408,25.40424
50.68520,1.65774,25.46112
50.78520,1.66086,25.50815
50.88520,1.66417,25.55651
50.98520,1.66778,25.60597
51.08520,1.67080,25.64792
51.18520,1.67399,25.69530
51.28520,1.67760,25.74829
51.38520,1.68088,25.79088
51.48520,1.68409,25.83916
51.58520,1.68770,25.89194
51.68520,1.69099,25.94144
51.78520,1.69403,25.98522
51.88520,1.69751,26.03915
51.98520,1.70093,26.09087
52.08520,1.70402,26.13034
52.18520,1.70760,26.18626
52.28520,1.71110,26.23613
52.38520,1.71413,26.27794
52.48520,1.71754,26.32724
52.58520,1.72098,26.37603
52.68520,1.72399,26.41876
52.78520,1.72745,26.46904
52.88520,1.73107,26.52395
52.98520,1.73413,26.56943
53.08520,1.73754,26.62012
53.18520,1.74108,26.67303
53.28520,1.74405,26.71470
53.38520,1.74735,26.76228
53.48520,1.75098,26.81462
53.58520,1.75416,26.85946
53.68520,1.75744,26.90705
53.78520,1.76109,26.95807
53.88520,1.76424,27.00252
53.98520,1.76730,27.04883
54.08520,1.77089,27.10288
54.18520,1.77425,27.15579
54.28520,1.77741,27.20137
54.38520,1.78101,27.24902
